"grdc_no","wmo_reg","sub_reg","river","station","country","latitude","longitude","area","altitude","d_start","d_end","d_yrs","d_miss","m_start","m_end","m_yrs","m_miss","t_start","t_end","t_yrs","lta_discharge","r_volume_yr","r_height_yr"
"1547760","1","47","MILIMA","MILIMA PUMP HOUSE","ZM","-10.15","31.25","67","-999","1970","2005","36","32.29852133","","","","","1970","2005","36","0.656","0.020687616","308.7703881"
"1547765","1","47","KALUNGU","KALUNGU (60773235)","ZM","-10.133333","31.366667","2106","-999","1965","1992","28","6.310127237","","","","","1965","1992","28","16.805","0.52996248","251.6441026"
"1547770","1","47","MUNGU","MUNGWI SCHOOL","ZM","-10.1333","31.3666","39","-999","1964","2005","42","15.85991078","","","","","1964","2005","42","1.202","0.037906272","971.9556923"
"1547780","1","47","NAKONDE","NAKONDE DAM SITE (60773230)","ZM","-9.6666","32.7166","41","-999","1957","2005","49","61.99143469","","","","","1957","2005","49","5.715","0.18022824","4395.810732"
"1547800","1","47","LWITIKILA","MPIKA ROAD BRIDGE","ZM","-11.8333","31.3833","324","-999","1970","2004","35","25.19584333","1978","1981","4","0","1970","2004","35","5.464","0.172312704","531.8293333"
"1553100","1","53","LUFUBU","KESO FALLS","ZM","-8.7","30.62","4098","-999","1978","1981","4","33.02919708","1978","1981","4","33.33333333","1978","1981","4","n.a.","n.a.","n.a."
"1553200","1","53","LUNZUA","KAMBOLE (60773105)","ZM","-8.95","31.183333","444","-999","1970","1991","22","0.234680574","","","","","1970","1991","22","4.042","0.127468512","287.0912432"
"1553500","1","53","LUCHECHE","BELOW LAKE CHILA","ZM","-8.8333","31.3833","22","-999","1970","2004","35","13.74790185","","","","","1970","2004","35","0.431","0.013592016","617.8189091"
"1563050","1","63","HOHA","NEAR ASOSA","ET","10.15","34.63","161","1460","1978","1980","3","0","1978","1980","3","0","1978","1980","3","0.893","0.028161648","174.9170683"
"1563100","1","63","BLUE NILE","SUDAN BORDER","ET","11","35","-999","-999","","","","","1969","1975","7","7.407407407","1969","1975","7","2450.683","77.28473909","n.a."
"1563450","1","63","FET'AM SHET'","TILILI","ET","10.85","37.02","282","2450","1978","1980","3","0","1978","1980","3","0","1978","1980","3","8.477","0.267330672","947.9811064"
"1563500","1","63","BLUE NILE","NEAR MERAWI","ET","11.37","37.03","1664","1900","1978","1980","3","0","1978","1980","3","0","1978","1980","3","55.402","1.747157472","1049.974442"
"1563550","1","63","NESHO SHET'","NEAR SHAMBOO","ET","9.75","37.25","322","2150","1978","1980","3","0","1978","1980","3","0","1978","1980","3","4.33","0.13655088","424.0710559"
